Construction	Verb
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	take
DITRANSITIVE	pass
DITRANSITIVE	pass
DITRANSITIVE	make
DITRANSITIVE	make
DITRANSITIVE	make
DITRANSITIVE	sell
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	do
DITRANSITIVE	supply
DITRANSITIVE	read
DITRANSITIVE	hand
DITRANSITIVE	hand
DITRANSITIVE	hand
DITRANSITIVE	hand
DITRANSITIVE	hand
DITRANSITIVE	feed
DITRANSITIVE	leave
DITRANSITIVE	leave
DITRANSITIVE	leave
DITRANSITIVE	leave
DITRANSITIVE	leave
DITRANSITIVE	leave
DITRANSITIVE	keep
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	pay
DITRANSITIVE	assign
DITRANSITIVE	assign
DITRANSITIVE	assign
DITRANSITIVE	set
DITRANSITIVE	set
DITRANSITIVE	write
DITRANSITIVE	write
DITRANSITIVE	write
DITRANSITIVE	write
DITRANSITIVE	cut
DITRANSITIVE	cut
DITRANSITIVE	lend
DITRANSITIVE	lend
DITRANSITIVE	lend
DITRANSITIVE	lend
DITRANSITIVE	lend
DITRANSITIVE	lend
DITRANSITIVE	lend
PREP_DATIVE	deal
PREP_DATIVE	lose
PREP_DATIVE	lose
PREP_DATIVE	lose
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	owe
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
PREP_DATIVE	send
